tx_nb_corto_lugar,tx_lat,tx_long,tx_nb_lugar, esAlias,esHoja,Padre,Siguiente,Anterior,Km_rang,Km_aprox,Nivel,cod_rutaraiz
a_km 23,0,0,Kilómetro 23,1,0,a_pnm,a_km 24,a_km 22,Km 20-26,a_km 23,2,a_pnm
km 23,,,,0,1,a_km 23,,,,,3,a_pnm
kilometro 23,,,,0,1,a_km 23,,,,,3,a_pnm
km23,,,,0,1,a_km 23,,,,,3,a_pnm
km. 23,,,,0,1,a_km 23,,,,,3,a_pnm
a_los cerritos,10.34848,-67.02079,Distribuidor Los Cerritos,1,0,a_pnm,a_km 24,a_km 22,Km 20-26,a_km 23,2,a_pnm
los cerritos,,,,0,1,a_los cerritos,,,,,3,a_pnm
a_vasconia,10.353872,-67.032087,C.C Vasconia,1,0,a_pnm,a_km 24,a_km 22,Km 20-26,a_km 23,2,a_pnm
vasconia,,,,0,1,a_vasconia,,,,,3,a_pnm
a_el tambor,10.348643,-67.020849,Distribuidor El Tambor,1,0,a_pnm,a_km 24,a_km 22,Km 20-26,a_km 23,2,a_pnm
el tambor,,,,0,1,a_el tambor,,,,,3,a_pnm
tambor,,,,0,1,a_el tambor,,,,,3,a_pnm
a_cultca,10.344716,-67.028055,CULTCA La Macarena - UPTAMCA ,1,0,a_pnm,a_km 24,a_km 22,Km 20-26,a_km 23,2,a_pnm
cultca,,,,0,1,a_cultca,,,,,3,a_pnm
a_macarena,10.34364,-67.02962,Sector La Macarena,1,0,a_pnm,a_km 24,a_km 22,Km 20-26,a_km 23,2,a_pnm
macarena,,,,0,1,a_macarena,,,,,3,a_pnm
a_km 24,0,0,Kilómetro 24,1,0,a_pnm,a_km 25,a_km 23,Km 20-26,a_km 24,2,a_pnm
km 24,,,,0,1,a_km 24,,,,,3,a_pnm
kilometro 24,,,,0,1,a_km 24,,,,,3,a_pnm
km24,,,,0,1,a_km 24,,,,,3,a_pnm
km. 24,,,,0,1,a_km 24,,,,,3,a_pnm
a_los nuevos teques,10.34346,-67.03415,Sector Los Nuevos Teques,1,0,a_pnm,a_km 25,a_km 23,Km 20-26,a_km 24,2,a_pnm
los nuevos teques,,,,0,1,a_los nuevos teques,,,,,3,a_pnm
losnuevosteques,,,,0,1,a_los nuevos teques,,,,,3,a_pnm
a_km 25,0,0,Kilómetro 25,1,0,a_pnm,a_km 26,a_km 24,Km 20-26,a_km 25,2,a_pnm
km 25,,,,0,1,a_km 25,,,,,3,a_pnm
kilometro 25,,,,0,1,a_km 25,,,,,3,a_pnm
km25,,,,0,1,a_km 25,,,,,3,a_pnm
km. 25,,,,0,1,a_km 25,,,,,3,a_pnm
a_la matica,10.34055,-67.03781,Sector La Matica,1,0,a_pnm,a_km 26,a_km 24,Km 20-26,a_km 25,2,a_pnm
la matica,,,,0,1,a_la matica,,,,,3,a_pnm
redoma de los teques,,,,0,1,a_la matica,,,,,3,a_pnm
a_km 26,10.335786,-67.040729,Kilómetro 26,1,0,a_pnm,a_km 27,a_km 25,Km 20-26,a_km 26,2,a_pnm
km 26,,,,0,1,a_km 26,,,,,3,a_pnm
km. 26,,,,0,1,a_km 26,,,,,3,a_pnm
kilometro 26,,,,0,1,a_km 26,,,,,3,a_pnm
km26,,,,0,1,a_km 26,,,,,3,a_pnm
a_los alpes,10.317512,-67.041041,Los Alpes ,1,0,a_pnm,a_km 27,a_km 25,Km 20-26,a_km 26,2,a_pnm
los alpes,,,,0,1,a_los alpes,,,,,3,a_pnm
a_iuta,10.335786,-67.040729,Instituto Universitario de Tecnología de Administración Industrial (IUTA),1,0,a_pnm,a_km 27,a_km 25,Km 20-26,a_km 26,2,a_pnm
iuta,,,,0,1,a_iuta,,,,,3,a_pnm
a_los lagos,10.32867,-67.04155,Sector Los Lagos,1,0,a_pnm,a_km 27,a_km 25,Km 20-26,a_km 26,2,a_pnm
los lagos,,,,0,1,a_los lagos,,,,,3,a_pnm
a_km 27,10.333014,-67.041728,Kilómetro 27,1,0,a_pnm,a_km 28,a_km 26,Km 27-32,a_km 27,2,a_pnm
km 27,,,,0,1,a_km 27,,,,,3,a_pnm
km. 27,,,,0,1,a_km 27,,,,,3,a_pnm
kilometro 27,,,,0,1,a_km 27,,,,,3,a_pnm
km27,,,,0,1,a_km 27,,,,,3,a_pnm
a_km 28,1,-6,Kilómetro 28,1,0,a_pnm,a_km 29,a_km 27,Km 27-32,a_km 28,2,a_pnm
km 28,,,,0,1,a_km 28,,,,,3,a_pnm
km. 28,,,,0,1,a_km 28,,,,,3,a_pnm
kilometro 28,,,,0,1,a_km 28,,,,,3,a_pnm
km28,,,,0,1,a_km 28,,,,,3,a_pnm
a_km 29,10.310751,-67.052119,Kilómetro 29,1,0,a_pnm,a_km 30,a_km 28,Km 27-32,a_km 29,2,a_pnm
km 29,,,,0,1,a_km 29,,,,,3,a_pnm
km. 29,,,,0,1,a_km 29,,,,,3,a_pnm
kilometro 29,,,,0,1,a_km 29,,,,,3,a_pnm
km29,,,,0,1,a_km 29,,,,,3,a_pnm
a_guaremal,10.31034,-67.04888,Sector Guaremal,1,0,a_pnm,a_km 30,a_km 28,Km 27-32,a_km 29,2,a_pnm
guaremal,,,,0,1,a_guaremal,,,,,3,a_pnm
a_club cumbre azul,10.310466,-67.050197,Club Cumbre Azul,1,0,a_pnm,a_km 30,a_km 28,Km 27-32,a_km 29,2,a_pnm
club cumbre azul,,,,0,1,a_club cumbre azul,,,,,3,a_pnm
cumbre azul,,,,0,1,a_club cumbre azul,,,,,3,a_pnm
a_km 30,1,-6,Kilómetro 30,1,0,a_pnm,a_km 31,a_km 29,Km 27-32,a_km 30,2,a_pnm
km 30,,,,0,1,a_km 30,,,,,3,a_pnm
km. 30,,,,0,1,a_km 30,,,,,3,a_pnm
kilometro 30,,,,0,1,a_km 30,,,,,3,a_pnm
km30,,,,0,1,a_km 30,,,,,3,a_pnm
a_el trabuco,1,-6,Sector El Trabuco,1,0,a_pnm,a_km 31,a_km 29,Km 27-32,a_km 30,2,a_pnm
el trabuco,,,,0,1,a_el trabuco,,,,,3,a_pnm
a_km 31,1,-6,Kilómetro 31,1,0,a_pnm,a_km 32,a_km 30,Km 27-32,a_km 31,2,a_pnm
km 31,,,,0,1,a_km 31,,,,,3,a_pnm
km. 31,,,,0,1,a_km 31,,,,,3,a_pnm
kilometro 31,,,,0,1,a_km 31,,,,,3,a_pnm
km31,,,,0,1,a_km 31,,,,,3,a_pnm
a_los cedros,1,-6,Sector Los Cedros,1,0,a_pnm,a_km 32,a_km 30,Km 27-32,a_km 31,2,a_pnm
los cedros,,,,0,1,a_los cedros,,,,,3,a_pnm
a_km 32,1,-6,Kilómetro 32,1,0,a_pnm,a_km 33,a_km 31,Km 27-32,a_km 32,2,a_pnm
km 32,,,,0,1,a_km 32,,,,,3,a_pnm
km. 32,,,,0,1,a_km 32,,,,,3,a_pnm
kilometro 32,,,,0,1,a_km 32,,,,,3,a_pnm
km32,,,,0,1,a_km 32,,,,,3,a_pnm
a_el limon,1,-6,Sector El Limón,1,0,a_pnm,a_km 33,a_km 31,Km 27-32,a_km 32,2,a_pnm
el limon,,,,0,1,a_el limon,,,,,3,a_pnm
a_km 33,1,-6,Kilómetro 33,1,0,a_pnm,a_km 34,a_km 32,Km 33-39,a_km 33,2,a_pnm
km 33,,,,0,1,a_km 33,,,,,3,a_pnm
km. 33,,,,0,1,a_km 33,,,,,3,a_pnm
kilometro 33,,,,0,1,a_km 33,,,,,3,a_pnm
km33,,,,0,1,a_km 33,,,,,3,a_pnm
a_limoncito,1,-6,Sector El Limoncito,1,0,a_pnm,a_km 34,a_km 32,Km 33-39,a_km 33,2,a_pnm
limoncito,,,,0,1,a_limoncito,,,,,3,a_pnm
a_km 34,1,-6,Kilómetro 34,1,0,a_pnm,a_km 35,a_km 33,Km 33-39,a_km 34,2,a_pnm
km 34,,,,0,1,a_km 34,,,,,3,a_pnm
km. 34,,,,0,1,a_km 34,,,,,3,a_pnm
kilometro 34,,,,0,1,a_km 34,,,,,3,a_pnm
km34,,,,0,1,a_km 34,,,,,3,a_pnm
a_puerta morocha,10.282560,-67.067531,Puerta Morocha,1,0,a_pnm,a_km 35,a_km 33,Km 33-39,a_km 34,2,a_pnm
puerta morocha,,,,0,1,a_puerta morocha,,,,,3,a_pnm
a_cumbre roja,1,-6,Sector Cumbre Roja,1,0,a_pnm,a_km 35,a_km 33,Km 33-39,a_km 34,2,a_pnm
cumbre roja,,,,0,1,a_cumbre roja,,,,,3,a_pnm
a_los amarillos,1,-6,Los Amarillos,1,0,a_pnm,a_km 35,a_km 33,Km 33-39,a_km 34,2,a_pnm
los amarillos,,,,0,1,a_los amarillos,,,,,3,a_pnm
a_km 35,1,-6,Kilómetro 35,1,0,a_pnm,a_km 36,a_km 34,Km 33-39,a_km 35,2,a_pnm
km 35,,,,0,1,a_km 35,,,,,3,a_pnm
km. 35,,,,0,1,a_km 35,,,,,3,a_pnm
kilometro 35,,,,0,1,a_km 35,,,,,3,a_pnm
km35,,,,0,1,a_km 35,,,,,3,a_pnm
a_km 36,1,-6,Kilómetro 36,1,0,a_pnm,a_km 37,a_km 35,Km 33-39,a_km 36,2,a_pnm
km 36,,,,0,1,a_km 36,,,,,3,a_pnm
km. 36,,,,0,1,a_km 36,,,,,3,a_pnm
kilometro 36,,,,0,1,a_km 36,,,,,3,a_pnm
km36,,,,0,1,a_km 36,,,,,3,a_pnm
a_guaracarumbo,10.27488,-67.08855,Guaracarumbo,1,0,a_pnm,a_km 37,a_km 35,Km 33-39,a_km 36,2,a_pnm
guaracarumbo,,,,0,1,a_guaracarumbo,,,,,3,a_pnm
a_km 37,1,-6,Kilómetro 37,1,0,a_pnm,a_km 38,a_km 36,Km 33-39,a_km 37,2,a_pnm
km 37,,,,0,1,a_km 37,,,,,3,a_pnm
km. 37,,,,0,1,a_km 37,,,,,3,a_pnm
kilometro 37,,,,0,1,a_km 37,,,,,3,a_pnm
km37,,,,0,1,a_km 37,,,,,3,a_pnm
a_colorado grill,1,-6,Rest. Colorado Grill,1,0,a_pnm,a_km 38,a_km 36,Km 33-39,a_km 37,2,a_pnm
colorado grill,,,,0,1,a_colorado grill,,,,,3,a_pnm
a_cementerio jardines,1,-6,Cementerio Jardines Los Teques,1,0,a_pnm,a_km 38,a_km 36,Km 33-39,a_km 37,2,a_pnm
cementerio jardines,,,,0,1,a_cementerio jardines,,,,,3,a_pnm
a_km 38,1,-6,Kilómetro 38,1,0,a_pnm,a_km 39,a_km 37,Km 33-39,a_km 38,2,a_pnm
km 38,,,,0,1,a_km 38,,,,,3,a_pnm
km. 38,,,,0,1,a_km 38,,,,,3,a_pnm
kilometro 38,,,,0,1,a_km 38,,,,,3,a_pnm
km38,,,,0,1,a_km 38,,,,,3,a_pnm
a_km 39,10.27488,-67.08855,Kilómetro 39,1,0,a_pnm,a_km 40,a_km 38,Km 33-39,a_km 39,2,a_pnm
km 39,,,,0,1,a_km 39,,,,,3,a_pnm
km. 39,,,,0,1,a_km 39,,,,,3,a_pnm
kilometro 39,,,,0,1,a_km 39,,,,,3,a_pnm
km39,,,,0,1,a_km 39,,,,,3,a_pnm
a_km 40,1,-6,Kilómetro 40,1,0,a_pnm,a_km 41,a_km 39,Km 40-46,a_km 40,2,a_pnm
km 40,,,,0,1,a_km 40,,,,,3,a_pnm
km. 40,,,,0,1,a_km 40,,,,,3,a_pnm
kilometro 40,,,,0,1,a_km 40,,,,,3,a_pnm
km40,,,,0,1,a_km 40,,,,,3,a_pnm
a_punto criollo,10.269574,-67.108539,Punto Criollo,1,0,a_pnm,a_km 41,a_km 39,Km 40-46,a_km 40,2,a_pnm
punto criollo,,,,0,1,a_punto criollo,,,,,3,a_pnm
a_jabillal,1,-6,Sector Jabillal,1,0,a_pnm,a_km 41,a_km 39,Km 40-46,a_km 40,2,a_pnm
jabillal,,,,0,1,a_jabillal,,,,,3,a_pnm
a_los limites,1,-6,Sector Los Límites,1,0,a_pnm,a_km 41,a_km 39,Km 40-46,a_km 40,2,a_pnm
los limites,,,,0,1,a_los limites,,,,,3,a_pnm
a_km 41,1,-6,Kilómetro 41,1,0,a_pnm,NULL,a_km 40,Km 40-46,a_km 41,2,a_pnm
km 41,,,,0,1,a_km 41,,,,,3,a_pnm
km. 41,,,,0,1,a_km 41,,,,,3,a_pnm
kilometro 41,,,,0,1,a_km 41,,,,,3,a_pnm
km41,,,,0,1,a_km 41,,,,,3,a_pnm
a_cañaote,1,-6,Sector Cañaote,1,0,a_pnm,NULL,a_km 40,Km 40-46,a_km 41,2,a_pnm
cañaote,,,,0,1,a_cañaote,,,,,3,a_pnm
