tx_nb_corto_lugar,tx_lat,tx_long,tx_nb_lugar, esAlias,esHoja,Padre,Siguiente,Anterior,Km_rang,Km_aprox,Nivel,cod_rutaraiz
a_las vegas,10.37796,-66.96694,Hotel Las Vegas,1,0,a_pnm,a_km 14,a_km 12,Km 11-15,a_km 13,2,a_pnm
las vegas,,,,0,1,a_las vegas,,,,,3,a_pnm
a_panorama,10.37796,-66.96694,Hotel Panorama,1,0,a_pnm,a_km 14,a_km 12,Km 11-15,a_km 13,2,a_pnm
panorama,,,,0,1,a_panorama,,,,,3,a_pnm
a_km 14,10.37518,-66.96751,Kilómetro 14,1,0,a_pnm,a_km 15,a_km 13,Km 11-15,a_km 14,2,a_pnm
km 14,,,,0,1,a_km 14,,,,,3,a_pnm
km. 14,,,,0,1,a_km 14,,,,,3,a_pnm
kilometro 14,,,,0,1,a_km 14,,,,,3,a_pnm
km14,,,,0,1,a_km 14,,,,,3,a_pnm
a_san antonio,10.37593,-66.96732,Entrada San Antonio de los Altos,1,0,a_pnm,a_km 15,a_km 13,Km 11-15,a_km 14,2,a_pnm
san antonio,,,,0,1,a_san antonio,,,,,3,a_pnm
a_distribuidor de las minas,10.37193,-66.97704,Distribuidor Recta de las Minas,1,0,a_pnm,a_km 15,a_km 13,Km 11-15,a_km 14,2,a_pnm
distribuidor de las minas,,,,0,1,a_distribuidor de las minas,,,,,3,a_pnm
distribuidor las minas,,,,0,1,a_distribuidor de las minas,,,,,3,a_pnm
a_bomberos de miranda,10.37513,-66.96751,Bomberos de Miranda,1,0,a_pnm,a_km 15,a_km 13,Km 11-15,a_km 14,2,a_pnm
bomberos de miranda,,,,0,1,a_bomberos de miranda,,,,,3,a_pnm
bomberos,,,,0,1,a_bomberos de miranda,,,,,3,a_pnm
a_alcaldia de los salias,10.37625,-66.96722,Alcaldia Los Salias,1,0,a_pnm,a_km 15,a_km 13,Km 11-15,a_km 14,2,a_pnm
alcaldia de los salias,,,,0,1,a_alcaldia de los salias,,,,,3,a_pnm
alcaldia san antonio,,,,0,1,a_alcaldia de los salias,,,,,3,a_pnm
alcaldia ssa,,,,0,1,a_alcaldia de los salias,,,,,3,a_pnm
alcaldia saa,,,,0,1,a_alcaldia de los salias,,,,,3,a_pnm
a_cepan,10.373932,-66.970173,C.C Cepan,1,0,a_pnm,a_km 15,a_km 13,Km 11-15,a_km 14,2,a_pnm
cepan,,,,0,1,a_cepan,,,,,3,a_pnm
a_km 15,10.37209,-66.97619,Kilómetro 15,1,0,a_pnm,a_km 16,a_km 14,Km 11-15,a_km 15,2,a_pnm
km 15,,,,0,1,a_km 15,,,,,3,a_pnm
km. 15,,,,0,1,a_km 15,,,,,3,a_pnm
kilometro 15,,,,0,1,a_km 15,,,,,3,a_pnm
km15,,,,0,1,a_km 15,,,,,3,a_pnm
a_recta de las minas,10.37216,-66.97579,Recta de las Minas,1,0,a_pnm,a_km 16,a_km 14,Km 11-15,a_km 15,2,a_pnm
recta de las minas,,,,0,1,a_recta de las minas,,,,,3,a_pnm
recta de la minas,,,,0,1,a_recta de las minas,,,,,3,a_pnm
recta d las minas,,,,0,1,a_recta de las minas,,,,,3,a_pnm
rectadelasminas,,,,0,1,a_recta de las minas,,,,,3,a_pnm
recta las minas,,,,0,1,a_recta de las minas,,,,,3,a_pnm
a_la auxiliadora,10.37173,-66.97776,E/S La Auxiliadora,1,0,a_pnm,a_km 16,a_km 14,Km 11-15,a_km 15,2,a_pnm
la auxiliadora,,,,0,1,a_la auxiliadora,,,,,3,a_pnm
a_galeria las americas,10.37381,-66.97106,C.C Galerías Las Américas,1,0,a_pnm,a_km 16,a_km 14,Km 11-15,a_km 15,2,a_pnm
galeria las americas,,,,0,1,a_galeria las americas,,,,,3,a_pnm
galerias,,,,0,1,a_galeria las americas,,,,,3,a_pnm
cc los llaneros,,,,0,1,a_galeria las americas,,,,,3,a_pnm
a_cc casa blanca,10.372912,-66.973647,C.C Casa Blanca,1,0,a_pnm,a_km 16,a_km 14,Km 11-15,a_km 15,2,a_pnm
cc casa blanca,,,,0,1,a_cc casa blanca,,,,,3,a_pnm
cc casablanca,,,,0,1,a_cc casa blanca,,,,,3,a_pnm
casablanca,,,,0,1,a_cc casa blanca,,,,,3,a_pnm
a_km 16,10.36927,-66.98585,Kilómetro 16,1,0,a_pnm,a_km 17,a_km 15,Km 16-19,a_km 16,2,a_pnm
km 16,,,,0,1,a_km 16,,,,,3,a_pnm
km. 16,,,,0,1,a_km 16,,,,,3,a_pnm
kilometro 16,,,,0,1,a_km 16,,,,,3,a_pnm
km16,,,,0,1,a_km 16,,,,,3,a_pnm
a_gallina linda,10.36817,-66.98661,Local Gallina Linda,1,0,a_pnm,a_km 17,a_km 15,Km 16-19,a_km 16,2,a_pnm
gallina linda,,,,0,1,a_gallina linda,,,,,3,a_pnm
a_la rosaleda,10.36937,-66.98571,Elevado La Rosaleda,1,0,a_pnm,a_km 17,a_km 15,Km 16-19,a_km 16,2,a_pnm
la rosaleda,,,,0,1,a_la rosaleda,,,,,3,a_pnm
rosaleda,,,,0,1,a_la rosaleda,,,,,3,a_pnm
a_la casona,10.37006,-66.98390,C.C La Casona,1,0,a_pnm,a_km 17,a_km 15,Km 16-19,a_km 16,2,a_pnm
